input,output
Find products never reviewed,SELECT * FROM products WHERE id NOT IN (SELECT DISTINCT product_id FROM reviews);
List categories with average product price > 500,SELECT category_id FROM products GROUP BY category_id HAVING AVG(price) > 500;
Show all reviews for product ID 10,SELECT * FROM reviews WHERE product_id = 10;
List users who have both ordered and reviewed,SELECT DISTINCT u.id FROM users u JOIN orders o ON u.id = o.user_id JOIN reviews r ON u.id = r.user_id;
Show most recent payment for each user,"SELECT user_id, MAX(payment_date) FROM payments GROUP BY user_id;"
Find number of distinct users who ordered in 2023,SELECT COUNT(DISTINCT user_id) FROM orders WHERE YEAR(order_date) = 2023;
List products purchased with PayPal,SELECT * FROM orders WHERE payment_id IN (SELECT id FROM payments WHERE method = 'PayPal');
Show order count by month,"SELECT MONTH(order_date) AS month, COUNT(*) FROM orders GROUP BY month;"
Get users with max total order amount,SELECT user_id FROM orders GROUP BY user_id ORDER BY SUM(amount) DESC LIMIT 1;
List all reviews where rating <= 2,SELECT * FROM reviews WHERE rating <= 2;
Find duplicate emails in users table,"SELECT email, COUNT(*) FROM users GROUP BY email HAVING COUNT(*) > 1;"
Show products with exactly 50 in stock,SELECT * FROM products WHERE stock = 50;
List payments made in the last 30 days,SELECT * FROM payments WHERE payment_date >= CURRENT_DATE - INTERVAL 30 DAY;
Get total order amount per user in 2024,"SELECT user_id, SUM(amount) FROM orders WHERE YEAR(order_date) = 2024 GROUP BY user_id;"
Show users who made payment but no order,SELECT * FROM users WHERE id IN (SELECT DISTINCT user_id FROM payments) AND id NOT IN (SELECT DISTINCT user_id FROM orders);
List review text and date for product ID 5,"SELECT review_text, review_date FROM reviews WHERE product_id = 5;"
Get names of products with 5-star reviews only,SELECT name FROM products WHERE id IN (SELECT product_id FROM reviews GROUP BY product_id HAVING MIN(rating) = 5);
Show average amount of successful payments,SELECT AVG(amount) FROM payments WHERE status = 'successful';
List products never ordered,SELECT * FROM products WHERE id NOT IN (SELECT DISTINCT product_id FROM orders);
Get number of users by signup month,"SELECT MONTH(signup_date) AS month, COUNT(*) FROM users GROUP BY month;"
Find orders made between 2024-01-01 and 2024-06-30,SELECT * FROM orders WHERE order_date BETWEEN '2024-01-01' AND '2024-06-30';
Get all reviews from users with Gmail address,SELECT * FROM reviews WHERE user_id IN (SELECT id FROM users WHERE email LIKE '%@gmail.com');
Show top reviewed product in each category,"SELECT p.name, COUNT(r.id) FROM products p JOIN reviews r ON p.id = r.product_id GROUP BY p.id ORDER BY COUNT(r.id) DESC LIMIT 1;"
List names of users who ordered more than 5 times,SELECT name FROM users WHERE id IN (SELECT user_id FROM orders GROUP BY user_id HAVING COUNT(*) > 5);
Get categories with more than 100 reviews,SELECT category_id FROM reviews GROUP BY category_id HAVING COUNT(*) > 100;
List all users who paid with debit card,SELECT * FROM payments WHERE method = 'debit card';
Find average stock of electronics products,SELECT AVG(stock) FROM products WHERE category_id = (SELECT id FROM categories WHERE name = 'Electronics');
Show names of users and count of failed payments,"SELECT u.name, COUNT(*) FROM users u JOIN payments p ON u.id = p.user_id WHERE p.status = 'failed' GROUP BY u.name;"
List reviews that mention 'value for money',SELECT * FROM reviews WHERE review_text LIKE '%value for money%';
Show all users who placed an order today,SELECT * FROM orders WHERE order_date = CURRENT_DATE;
List unique category names from products,SELECT DISTINCT name FROM categories;
Get payment count by method,"SELECT method, COUNT(*) FROM payments GROUP BY method;"
Find users who signed up on a weekend,"SELECT * FROM users WHERE DAYOFWEEK(signup_date) IN (1, 7);"
List average order amount by user,"SELECT user_id, AVG(amount) FROM orders GROUP BY user_id;"
Show reviews for products with price above 1000,SELECT * FROM reviews WHERE product_id IN (SELECT id FROM products WHERE price > 1000);
List emails of users who haven’t placed orders,SELECT email FROM users WHERE id NOT IN (SELECT DISTINCT user_id FROM orders);
Get top 3 payment methods by usage,SELECT method FROM payments GROUP BY method ORDER BY COUNT(*) DESC LIMIT 3;
List all products and corresponding categories,"SELECT p.name, c.name FROM products p JOIN categories c ON p.category_id = c.id;"
Find product with the most reviews in 2024,SELECT product_id FROM reviews WHERE YEAR(review_date) = 2024 GROUP BY product_id ORDER BY COUNT(*) DESC LIMIT 1;
Show average price of reviewed products,SELECT AVG(price) FROM products WHERE id IN (SELECT DISTINCT product_id FROM reviews);
Get total spending of each user in 2023,"SELECT user_id, SUM(amount) FROM orders WHERE YEAR(order_date) = 2023 GROUP BY user_id;"
Find reviews containing keyword 'refund',SELECT * FROM reviews WHERE review_text LIKE '%refund%';
List most used payment method in 2025,SELECT method FROM payments WHERE YEAR(payment_date) = 2025 GROUP BY method ORDER BY COUNT(*) DESC LIMIT 1;
Show all payments above 1000 made with UPI,SELECT * FROM payments WHERE method = 'UPI' AND amount > 1000;
List users who ordered and reviewed same product,SELECT user_id FROM reviews WHERE product_id IN (SELECT product_id FROM orders) GROUP BY user_id HAVING COUNT(*) > 0;
Get percentage of out-of-stock products,"SELECT ROUND(100.0 * COUNT(*) / (SELECT COUNT(*) FROM products), 2) AS percentage FROM products WHERE stock = 0;"
Show categories with no products,SELECT * FROM categories WHERE id NOT IN (SELECT DISTINCT category_id FROM products);
Find reviews submitted in last 7 days,SELECT * FROM reviews WHERE review_date >= CURRENT_DATE - INTERVAL 7 DAY;
List users who paid more than once on same day,"SELECT user_id FROM payments GROUP BY user_id, payment_date HAVING COUNT(*) > 1;"
Get orders where payment failed,SELECT * FROM orders WHERE payment_id IN (SELECT id FROM payments WHERE status = 'failed');
Show reviews posted by user with most orders,SELECT * FROM reviews WHERE user_id = (SELECT user_id FROM orders GROUP BY user_id ORDER BY COUNT(*) DESC LIMIT 1);
List users with both Gmail and Yahoo email,SELECT * FROM users WHERE email LIKE '%gmail.com' OR email LIKE '%yahoo.com';
Find products with same price but different category,SELECT * FROM products WHERE price IN (SELECT price FROM products GROUP BY price HAVING COUNT(*) > 1) AND category_id NOT IN (SELECT category_id FROM products GROUP BY price HAVING COUNT(*) = 1);
Get review text and rating for lowest rated product,"SELECT review_text, rating FROM reviews WHERE rating = (SELECT MIN(rating) FROM reviews);"
"Show order ID, amount, and payment status","SELECT id, amount, (SELECT status FROM payments WHERE id = o.payment_id) AS payment_status FROM orders o;"
List product names and total order count,"SELECT name, (SELECT COUNT(*) FROM orders WHERE product_id = p.id) AS total_orders FROM products p;"
Find reviews with empty text or null,SELECT * FROM reviews WHERE review_text IS NULL OR review_text = '';
List users with at least one review and no order,SELECT * FROM users WHERE id IN (SELECT DISTINCT user_id FROM reviews) AND id NOT IN (SELECT DISTINCT user_id FROM orders);
Show most recent signup date,SELECT MAX(signup_date) FROM users;
List all payments sorted by amount ascending,SELECT * FROM payments ORDER BY amount ASC;
Get names of products reviewed 5+ times,SELECT name FROM products WHERE id IN (SELECT product_id FROM reviews GROUP BY product_id HAVING COUNT(*) >= 5);
Show all reviews and related product names,"SELECT r.*, p.name FROM reviews r JOIN products p ON r.product_id = p.id;"
Find duplicate usernames in users table,"SELECT username, COUNT(*) FROM users GROUP BY username HAVING COUNT(*) > 1;"
List all orders paid by credit card in 2024,SELECT * FROM orders WHERE YEAR(order_date) = 2024 AND payment_id IN (SELECT id FROM payments WHERE method = 'credit card');
Show payment method used for each order,"SELECT o.id, (SELECT method FROM payments WHERE id = o.payment_id) AS method FROM orders o;"
Find orders where amount equals payment amount,SELECT * FROM orders o JOIN payments p ON o.payment_id = p.id WHERE o.amount = p.amount;
Get users who never signed in again after signup,SELECT * FROM users WHERE id NOT IN (SELECT DISTINCT user_id FROM logins WHERE login_date > signup_date);
Show 5 products with least stock,SELECT * FROM products ORDER BY stock ASC LIMIT 5;
List total number of reviews by category,"SELECT category_id, COUNT(*) FROM reviews r JOIN products p ON r.product_id = p.id GROUP BY category_id;"
Find reviews with rating mismatch (rating not between 1–5),SELECT * FROM reviews WHERE rating < 1 OR rating > 5;
List user names who reviewed a product twice,"SELECT user_id FROM reviews GROUP BY user_id, product_id HAVING COUNT(*) > 1;"
Show total orders placed on Sundays,SELECT COUNT(*) FROM orders WHERE DAYOFWEEK(order_date) = 1;
List category-wise max product price,"SELECT category_id, MAX(price) FROM products GROUP BY category_id;"
List all users who made orders in 2022,SELECT * FROM orders WHERE YEAR(order_date) = 2022;
Show total revenue generated in 2025,SELECT SUM(amount) FROM payments WHERE YEAR(payment_date) = 2025 AND status = 'successful';
Find users who made only failed payments,SELECT user_id FROM payments WHERE status = 'failed' GROUP BY user_id HAVING COUNT(*) = COUNT(CASE WHEN status = 'failed' THEN 1 END);
List products that were ordered more than 100 times,SELECT product_id FROM orders GROUP BY product_id HAVING COUNT(*) > 100;
Get names of users who reviewed more than 3 products,SELECT user_id FROM reviews GROUP BY user_id HAVING COUNT(*) > 3;
List products with 4-star rating and above,SELECT * FROM products WHERE rating >= 4;
Show reviews for orders above 5000,SELECT * FROM reviews r JOIN orders o ON r.product_id = o.product_id WHERE o.amount > 5000;
Find average number of products per category,"SELECT category_id, AVG(product_count) FROM (SELECT category_id, COUNT(*) as product_count FROM products GROUP BY category_id) AS temp GROUP BY category_id;"
List all categories that have no reviews,SELECT * FROM categories WHERE id NOT IN (SELECT DISTINCT category_id FROM products p JOIN reviews r ON p.id = r.product_id);
Get total successful payments for user ID 12,SELECT SUM(amount) FROM payments WHERE status = 'successful' AND user_id = 12;
List users with orders but no reviews,SELECT user_id FROM orders WHERE user_id NOT IN (SELECT DISTINCT user_id FROM reviews);
Find the most common payment method,"SELECT method, COUNT(*) FROM payments GROUP BY method ORDER BY COUNT(*) DESC LIMIT 1;"
Get names of users who made orders but failed all payments,SELECT user_id FROM orders WHERE user_id IN (SELECT user_id FROM payments WHERE status = 'failed') AND user_id NOT IN (SELECT user_id FROM payments WHERE status = 'successful');
List orders where no payment is recorded,SELECT * FROM orders WHERE id NOT IN (SELECT DISTINCT order_id FROM payments);
Show users who reviewed but never ordered,SELECT user_id FROM reviews WHERE user_id NOT IN (SELECT DISTINCT user_id FROM orders);
List top 10 users by total amount paid,"SELECT user_id, SUM(amount) FROM payments GROUP BY user_id ORDER BY SUM(amount) DESC LIMIT 10;"
Show monthly revenue trend in 2024,"SELECT MONTH(order_date), SUM(amount) FROM orders GROUP BY MONTH(order_date);"
Get users who gave both 1-star and 5-star reviews,SELECT user_id FROM reviews WHERE rating = 1 INTERSECT SELECT user_id FROM reviews WHERE rating = 5;
List products that were restocked after going out of stock,SELECT * FROM products WHERE stock = 0 AND restock_date IS NOT NULL;
Get all payments with mismatched order_id,SELECT * FROM payments WHERE order_id NOT IN (SELECT id FROM orders);
List all reviews and respective product prices,"SELECT r.*, p.price FROM reviews r JOIN products p ON r.product_id = p.id;"
Find orders with null shipping address,SELECT * FROM orders WHERE shipping_address IS NULL;
List usernames who reviewed product ID 1,SELECT u.username FROM users u JOIN reviews r ON u.id = r.user_id WHERE r.product_id = 1;
Show products with average rating < 2,SELECT product_id FROM reviews GROUP BY product_id HAVING AVG(rating) < 2;
Find categories with only one product,SELECT category_id FROM products GROUP BY category_id HAVING COUNT(*) = 1;
List all reviews for electronics products,SELECT r.* FROM reviews r JOIN products p ON r.product_id = p.id WHERE p.category_id = (SELECT id FROM categories WHERE name = 'Electronics');
Get most recent order for each product,SELECT * FROM orders WHERE order_date = (SELECT MAX(order_date) FROM orders WHERE product_id = orders.product_id);
Show top 3 products ordered in January 2025,SELECT product_id FROM orders WHERE MONTH(order_date) = 1 AND YEAR(order_date) = 2025 GROUP BY product_id ORDER BY COUNT(*) DESC LIMIT 3;
List emails of users who made 10+ orders,SELECT email FROM users WHERE id IN (SELECT user_id FROM orders GROUP BY user_id HAVING COUNT(*) >= 10);
Show total number of failed payments by year,"SELECT YEAR(payment_date), COUNT(*) FROM payments WHERE status = 'failed' GROUP BY YEAR(payment_date);"
List users who made payments using 3+ different methods,SELECT user_id FROM payments GROUP BY user_id HAVING COUNT(DISTINCT method) >= 3;
Get products that were never paid for,SELECT * FROM products WHERE id NOT IN (SELECT DISTINCT product_id FROM payments);
Show count of users by review rating given,"SELECT rating, COUNT(*) FROM reviews GROUP BY rating;"
List all products with null category,SELECT * FROM products WHERE category_id IS NULL;
Show users with same name but different email,SELECT name FROM users GROUP BY name HAVING COUNT(DISTINCT email) > 1;
Get daily average order amount for last 7 days,"SELECT order_date, AVG(amount) FROM orders WHERE order_date >= CURRENT_DATE - INTERVAL 7 DAY GROUP BY order_date;"
List usernames who signed up and reviewed same day,SELECT username FROM users WHERE DATE(signup_date) = (SELECT DATE(review_date) FROM reviews WHERE user_id = users.id);
Find users who ordered on two consecutive days,"SELECT user_id FROM orders o1 JOIN orders o2 ON o1.user_id = o2.user_id AND DATEDIFF(o1.order_date, o2.order_date) = 1;"
List categories with highest average product price,SELECT category_id FROM products GROUP BY category_id ORDER BY AVG(price) DESC LIMIT 1;
Get product with max total review text length,SELECT id FROM products ORDER BY LENGTH((SELECT GROUP_CONCAT(review_text) FROM reviews WHERE product_id = products.id)) DESC LIMIT 1;
Find reviews made during night time,SELECT * FROM reviews WHERE HOUR(review_date) BETWEEN 0 AND 6;
List orders with both debit and credit card payments,"SELECT user_id FROM payments WHERE method IN ('debit card', 'credit card') GROUP BY order_id HAVING COUNT(DISTINCT method) = 2;"
Show products ordered by users who gave 5-star review,SELECT DISTINCT r.user_id FROM reviews r JOIN orders o ON r.product_id = o.product_id AND r.user_id = o.user_id WHERE r.rating = 5;
List all usernames who reviewed their own orders,SELECT u.username FROM users u JOIN reviews r ON u.id = r.user_id JOIN orders o ON o.user_id = r.user_id AND o.product_id = r.product_id;
Get users who used PayPal more than 5 times,SELECT user_id FROM payments WHERE method = 'PayPal' GROUP BY user_id HAVING COUNT(*) > 5;
Show orders with review rating above 4,SELECT o.* FROM orders o JOIN reviews r ON o.id = r.order_id WHERE r.rating > 4;
List categories with reviews from 100+ users,SELECT category_id FROM reviews GROUP BY category_id HAVING COUNT(DISTINCT user_id) > 100;
Get names of users who placed 3 orders on same day,"SELECT user_id FROM orders GROUP BY user_id, order_date HAVING COUNT(*) = 3;"
List orders not linked to any user,SELECT * FROM orders WHERE user_id IS NULL;
Find users whose payments exceed total order amount,SELECT user_id FROM payments GROUP BY user_id HAVING SUM(amount) > (SELECT SUM(amount) FROM orders WHERE user_id = payments.user_id);
Show reviews that include emojis,SELECT * FROM reviews WHERE review_text REGEXP '[😀-🙏]';
List usernames who ordered the same product multiple times,"SELECT user_id FROM orders GROUP BY user_id, product_id HAVING COUNT(*) > 1;"
Find products with multiple reviews from same user,"SELECT product_id FROM reviews GROUP BY product_id, user_id HAVING COUNT(*) > 1;"
List payments with duplicate transaction IDs,SELECT * FROM payments GROUP BY transaction_id HAVING COUNT(*) > 1;
Show reviews updated after 1 month of creation,"SELECT * FROM reviews WHERE DATEDIFF(update_date, review_date) > 30;"
Get number of reviews added each week in 2025,"SELECT WEEK(review_date), COUNT(*) FROM reviews WHERE YEAR(review_date) = 2025 GROUP BY WEEK(review_date);"
Find users who gave reviews for products they didn’t order,SELECT r.user_id FROM reviews r LEFT JOIN orders o ON r.product_id = o.product_id AND r.user_id = o.user_id WHERE o.id IS NULL;
List all products reviewed by user ID 7,SELECT * FROM reviews WHERE user_id = 7;
Show average time between order and payment,"SELECT AVG(DATEDIFF(payment_date, order_date)) FROM payments JOIN orders ON payments.order_id = orders.id;"
List users who updated their email,SELECT * FROM users WHERE email_updated = TRUE;
Show all orders from user with email ending in '@gmail.com',SELECT * FROM orders WHERE user_id IN (SELECT id FROM users WHERE email LIKE '%@gmail.com');
List all reviews for products never ordered,SELECT * FROM reviews WHERE product_id NOT IN (SELECT DISTINCT product_id FROM orders);
Find users who gave ratings outside 1–5 range,SELECT * FROM reviews WHERE rating NOT BETWEEN 1 AND 5;
"List users who signed up, ordered, paid and reviewed",SELECT * FROM users WHERE id IN (SELECT user_id FROM orders) AND id IN (SELECT user_id FROM payments) AND id IN (SELECT user_id FROM reviews);
Get names of categories with duplicate entries,SELECT name FROM categories GROUP BY name HAVING COUNT(*) > 1;
Show percentage of failed payments per month,"SELECT MONTH(payment_date), COUNT(*) * 100.0 / (SELECT COUNT(*) FROM payments WHERE MONTH(payment_date) = MONTH(p.payment_date)) FROM payments p WHERE status = 'failed' GROUP BY MONTH(payment_date);"
List all usernames that start with letter A,SELECT username FROM users WHERE username LIKE 'A%';
Show order amount variance by category,"SELECT category_id, VARIANCE(amount) FROM orders JOIN products ON orders.product_id = products.id GROUP BY category_id;"
Get review count for top 5 highest priced products,"SELECT product_id, COUNT(*) FROM reviews GROUP BY product_id ORDER BY COUNT(*) DESC LIMIT 5;"
Find average payment delay per user,"SELECT user_id, AVG(DATEDIFF(payment_date, order_date)) FROM orders JOIN payments ON orders.id = payments.order_id GROUP BY user_id;"
List total spending by users who reviewed only once,"SELECT user_id, SUM(amount) FROM payments WHERE user_id IN (SELECT user_id FROM reviews GROUP BY user_id HAVING COUNT(*) = 1) GROUP BY user_id;"
Get number of products each user has ordered,"SELECT user_id, COUNT(DISTINCT product_id) FROM orders GROUP BY user_id;"
List all orders made on leap day,SELECT * FROM orders WHERE DAY(order_date) = 29 AND MONTH(order_date) = 2;
Get names of users who used both UPI and netbanking,SELECT user_id FROM payments WHERE method = 'UPI' INTERSECT SELECT user_id FROM payments WHERE method = 'netbanking';
Show reviews and order date for each review,"SELECT r.*, o.order_date FROM reviews r JOIN orders o ON r.order_id = o.id;"
List users with all orders cancelled,SELECT user_id FROM orders GROUP BY user_id HAVING SUM(CASE WHEN status = 'cancelled' THEN 1 ELSE 0 END) = COUNT(*)
Get top 5 products with highest refund complaints,SELECT product_id FROM reviews WHERE review_text LIKE '%refund%' GROUP BY product_id ORDER BY COUNT(*) DESC LIMIT 5;
Show orders placed from mobile devices,SELECT * FROM orders WHERE device_used = 'mobile';
List duplicate product names,SELECT name FROM products GROUP BY name HAVING COUNT(*) > 1;
Find reviews with exactly 3 sentences,"SELECT * FROM reviews WHERE LENGTH(review_text) - LENGTH(REPLACE(review_text, '.', '')) = 2;"
Show average time to deliver an order,"SELECT AVG(DATEDIFF(delivery_date, order_date)) FROM orders WHERE delivery_date IS NOT NULL;"
List users who placed 100+ orders overall,SELECT user_id FROM orders GROUP BY user_id HAVING COUNT(*) >= 100;
Get all users,SELECT * FROM users;
List all user names,SELECT name FROM users;
Find users with email 'example@email.com',"SELECT id, name FROM users WHERE email = 'example@email.com';"
Show users who signed up today,"SELECT id, name FROM users WHERE signup_date = CURRENT_DATE;"
Count total users,SELECT COUNT(id) FROM users;
Get user ID and name for user 'Alice',"SELECT id, name FROM users WHERE name = 'Alice';"
